Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B0,false,Rx,0,8,02,A2,06,00,00,00,00,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B0,false,Rx,0,8,02,A2,06,00,00,00,00,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B0,false,Rx,0,8,02,A2,06,00,00,00,00,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
0,000007B8,false,Rx,0,8,07,E2,06,88,40,00,10,00,
